Timestamp,DRA0010_COATING_DIAMETER
="2022-12-01 12:59:57.165",5020.0
="2022-12-01 12:59:32.168",5001.0
="2022-12-01 12:59:07.150",4995.0
="2022-12-01 12:58:42.892",4999.0
="2022-12-01 12:58:18.625",4991.0
="2022-12-01 12:57:53.617",4994.0
="2022-12-01 12:57:28.609",4998.0
="2022-12-01 12:57:03.112",4998.0
="2022-12-01 12:56:38.594",4998.0
="2022-12-01 12:56:12.617",5006.0
="2022-12-01 12:55:48.100",4993.0
="2022-12-01 12:55:22.111",5003.0
="2022-12-01 12:54:57.605",5009.0
="2022-12-01 12:54:31.618",5009.0
="2022-12-01 12:54:05.630",5004.0
="2022-12-01 12:53:40.622",5014.0
="2022-12-01 12:53:15.614",5008.0
="2022-12-01 12:52:50.607",5013.0
="2022-12-01 12:52:25.600",5009.0
="2022-12-01 12:52:00.103",4996.0
="2022-12-01 12:51:35.094",5010.0
="2022-12-01 12:51:10.077",5013.0
="2022-12-01 12:50:45.799",5023.0
="2022-12-01 12:50:20.782",5010.0
="2022-12-01 12:49:55.765",5010.0
="2022-12-01 12:49:29.767",5011.0
="2022-12-01 12:49:04.270",5017.0
="2022-12-01 12:48:39.753",5017.0
="2022-12-01 12:48:15.474",5005.0
="2022-12-01 12:47:49.978",5014.0
="2022-12-01 12:47:25.710",5007.0
="2022-12-01 12:47:00.222",4997.0
="2022-12-01 12:46:34.726",5009.0
="2022-12-01 12:46:09.969",4997.0
="2022-12-01 12:45:43.981",5016.0
="2022-12-01 12:45:18.974",5006.0
="2022-12-01 12:44:53.476",5009.0
="2022-12-01 12:44:28.718",4992.0
="2022-12-01 12:44:04.210",5015.0
="2022-12-01 12:43:38.713",5000.0
="2022-12-01 12:43:13.715",5022.0
="2022-12-01 12:42:47.739",5018.0
="2022-12-01 12:42:22.731",5010.0
="2022-12-01 12:41:57.734",5011.0
="2022-12-01 12:41:33.466",5006.0
="2022-12-01 12:41:08.470",5008.0
="2022-12-01 12:40:43.461",5019.0
="2022-12-01 12:40:18.463",5016.0
="2022-12-01 12:39:52.716",5010.0
="2022-12-01 12:39:27.708",5003.0
="2022-12-01 12:39:03.940",5003.0
="2022-12-01 12:38:39.424",5004.0
="2022-12-01 12:38:15.154",5016.0
="2022-12-01 12:37:49.668",5013.0
="2022-12-01 12:37:24.660",5007.0
="2022-12-01 12:37:00.143",5005.0
="2022-12-01 12:36:35.366",5002.0
="2022-12-01 12:36:10.838",5021.0
="2022-12-01 12:35:44.841",5012.0
="2022-12-01 12:35:19.823",5015.0
="2022-12-01 12:34:55.545",5010.0
="2022-12-01 12:34:30.529",5010.0
="2022-12-01 12:34:05.511",5008.0
="2022-12-01 12:33:40.003",5010.0
="2022-12-01 12:33:14.006",5013.0
="2022-12-01 12:32:49.478",5018.0
="2022-12-01 12:32:26.171",5010.0
="2022-12-01 12:32:00.423",5007.0
="2022-12-01 12:31:35.405",5012.0
="2022-12-01 12:31:11.619",5021.0
="2022-12-01 12:30:46.590",5008.0
="2022-12-01 12:30:21.583",5005.0
="2022-12-01 12:29:57.057",5009.0
="2022-12-01 12:29:31.550",5005.0
="2022-12-01 12:29:07.020",5002.0
="2022-12-01 12:28:41.514",5007.0
="2022-12-01 12:28:16.506",5011.0
="2022-12-01 12:27:51.488",5016.0
="2022-12-01 12:27:25.752",4994.0
="2022-12-01 12:27:00.735",4997.0
="2022-12-01 12:26:35.236",5003.0
="2022-12-01 12:26:10.969",5003.0
="2022-12-01 12:25:47.421",5009.0
="2022-12-01 12:25:21.435",5003.0
="2022-12-01 12:24:55.936",5006.0
="2022-12-01 12:24:31.658",5005.0
="2022-12-01 12:24:06.651",5001.0
="2022-12-01 12:23:41.644",4999.0
="2022-12-01 12:23:16.637",5006.0
="2022-12-01 12:22:52.120",5003.0
="2022-12-01 12:22:27.602",5004.0
="2022-12-01 12:22:04.063",5000.0
="2022-12-01 12:21:40.036",5004.0
="2022-12-01 12:21:14.049",5007.0
="2022-12-01 12:20:49.522",5007.0
="2022-12-01 12:20:24.264",4995.0
="2022-12-01 12:19:59.748",4998.0
="2022-12-01 12:19:34.248",5006.0
="2022-12-01 12:19:09.241",5011.0
="2022-12-01 12:18:45.454",5028.0
="2022-12-01 12:18:18.977",5028.0
="2022-12-01 12:17:53.959",5020.0
="2022-12-01 12:17:30.161",5026.0
="2022-12-01 12:17:04.164",5024.0
="2022-12-01 12:16:38.657",5029.0
="2022-12-01 12:16:13.149",5022.0
="2022-12-01 12:15:47.640",5019.0
="2022-12-01 12:15:23.363",5025.0
="2022-12-01 12:14:58.346",5024.0
="2022-12-01 12:14:33.329",5024.0
="2022-12-01 12:14:08.072",5011.0
="2022-12-01 12:13:43.053",5012.0
="2022-12-01 12:13:17.547",5022.0
="2022-12-01 12:12:53.019",5029.0
="2022-12-01 12:12:27.511",5017.0
="2022-12-01 12:12:03.245",5016.0
="2022-12-01 12:11:38.468",5017.0
="2022-12-01 12:10:10.744",5026.0
="2022-12-01 12:09:45.738",5012.0
="2022-12-01 12:09:19.751",5019.0
="2022-12-01 12:08:54.252",5028.0
="2022-12-01 12:08:29.256",5018.0
="2022-12-01 12:08:04.738",5020.0
="2022-12-01 12:07:38.991",5020.0
="2022-12-01 12:07:13.982",5032.0
="2022-12-01 12:06:48.245",5029.0
="2022-12-01 12:06:23.729",5032.0
="2022-12-01 12:05:59.950",5015.0
="2022-12-01 12:05:35.433",5017.0
="2022-12-01 12:05:10.685",5025.0
="2022-12-01 12:04:46.179",5026.0
="2022-12-01 12:04:20.430",5031.0
="2022-12-01 12:03:56.413",5018.0
="2022-12-01 12:03:31.896",5027.0
="2022-12-01 12:03:06.409",5023.0
="2022-12-01 12:02:40.911",5024.0
="2022-12-01 12:02:16.393",5031.0
="2022-12-01 12:01:52.606",5034.0
="2022-12-01 12:01:27.609",5034.0
="2022-12-01 12:01:03.082",5034.0
="2022-12-01 12:00:38.583",5027.0
="2022-12-01 12:00:12.597",5024.0
="2022-12-01 11:59:47.588",5039.0
="2022-12-01 11:59:22.090",5023.0
="2022-12-01 11:58:58.063",5036.0
